course_id_1,course_id_2,student_conflict_count
BBA101,BBA102,15
BBA101,BBA103,15
BBA101,BBA104,15
BBA101,CSE103,1
BBA101,ENG104,2
BBA101,MAT104,1
BBA101,PHY101,1
BBA101,PHY102,1
BBA101,PHY103,1
BBA101,PHY104,1
BBA102,BBA103,15
BBA102,BBA104,15
BBA102,CSE103,1
BBA102,ENG104,2
BBA102,MAT104,1
BBA103,BBA104,15
BBA103,CSE103,1
BBA103,EEE101,1
BBA103,EEE102,1
BBA103,EEE103,1
BBA103,EEE104,1
BBA103,ENG104,2
BBA103,MAT104,1
BBA104,CSE103,1
BBA104,ENG104,2
BBA104,MAT104,1
BBA104,PHY101,1
BBA104,PHY102,1
BBA104,PHY103,1
BBA104,PHY104,1
BBA201,BBA202,15
BBA201,BBA203,15
BBA201,BBA204,15
BBA201,CSE201,1
BBA201,CSE202,1
BBA201,CSE203,1
BBA201,CSE204,1
BBA201,ENG204,1
BBA202,BBA203,15
BBA202,BBA204,15
BBA202,EEE201,1
BBA202,EEE202,1
BBA202,EEE203,1
BBA202,EEE204,1
BBA202,ENG204,1
BBA203,BBA204,15
BBA203,ENG201,1
BBA203,ENG202,1
BBA203,ENG203,1
BBA203,ENG204,2
BBA204,ENG204,1
BBA301,BBA302,15
BBA301,BBA303,15
BBA301,BBA304,15
BBA301,MAT303,1
BBA301,PHY303,2
BBA301,PHY304,1
BBA302,BBA303,15
BBA302,BBA304,15
BBA302,ENG301,1
BBA302,ENG302,1
BBA302,ENG303,1
BBA302,ENG304,1
BBA302,MAT303,1
BBA302,PHY301,1
BBA302,PHY302,1
BBA302,PHY303,3
BBA302,PHY304,2
BBA303,BBA304,15
BBA303,MAT303,1
BBA303,PHY303,2
BBA303,PHY304,1
BBA304,MAT303,1
BBA304,PHY301,1
BBA304,PHY302,1
BBA304,PHY303,3
BBA304,PHY304,2
BBA401,BBA402,15
BBA401,BBA403,15
BBA401,BBA404,15
BBA401,EEE403,1
BBA401,MAT401,1
BBA401,MAT402,1
BBA401,MAT403,1
BBA401,MAT404,1
BBA401,PHY401,1
BBA401,PHY402,1
BBA401,PHY403,1
BBA401,PHY404,1
BBA402,BBA403,15
BBA402,BBA404,15
BBA402,EEE403,1
BBA402,MAT401,1
BBA402,MAT402,1
BBA402,MAT403,1
BBA402,MAT404,1
BBA403,BBA404,15
BBA403,EEE403,1
