course_id,teacher_id,role
CSE501,T001,Main
CSE502,T006,Main
CSE503,T001,Main
CSE504,T001,Main
CSE401,T006,Main
CSE402,T001,Main
CSE403,T004,Main
CSE403,T001,Co
CSE404,T002,Main
CSE301,T003,Main
CSE302,T006,Main
CSE303,T004,Main
CSE304,T003,Main
CSE304,T006,Co
CSE201,T006,Main
CSE202,T005,Main
CSE202,T001,Co
CSE203,T003,Main
CSE204,T001,Main
CSE101,T001,Main
CSE102,T006,Main
CSE103,T002,Main
CSE103,T001,Co
CSE104,T002,Main
CSE104,T003,Co
EEE501,T007,Main
EEE502,T012,Main
EEE502,T009,Co
EEE503,T011,Main
EEE504,T011,Main
EEE401,T007,Main
EEE402,T008,Main
EEE403,T011,Main
EEE403,T012,Co
EEE404,T008,Main
EEE301,T011,Main
EEE302,T012,Main
EEE302,T008,Co
EEE303,T009,Main
EEE304,T012,Main
EEE304,T008,Co
EEE201,T008,Main
EEE201,T009,Co
EEE202,T012,Main
EEE203,T011,Main
EEE204,T012,Main
EEE101,T010,Main
EEE102,T011,Main
EEE103,T010,Main
EEE103,T007,Co
EEE104,T009,Main
BBA501,T014,Main
BBA502,T016,Main
BBA503,T015,Main
BBA504,T014,Main
BBA401,T016,Main
BBA402,T013,Main
BBA403,T014,Main
BBA404,T018,Main
BBA301,T015,Main
BBA302,T018,Main
BBA303,T016,Main
BBA303,T017,Co
BBA304,T013,Main
BBA201,T014,Main
BBA202,T013,Main
BBA203,T015,Main
BBA203,T018,Co
BBA204,T016,Main
BBA101,T016,Main
BBA101,T017,Co
BBA102,T013,Main
BBA103,T015,Main
BBA104,T014,Main
ENG501,T022,Main
ENG502,T024,Main
ENG503,T022,Main
ENG504,T022,Main
ENG401,T019,Main
ENG402,T023,Main
ENG403,T021,Main
ENG404,T023,Main
ENG301,T019,Main
ENG302,T022,Main
ENG302,T021,Co
ENG303,T022,Main
ENG304,T020,Main
ENG201,T022,Main
ENG202,T019,Main
ENG203,T022,Main
ENG204,T022,Main
ENG101,T022,Main
ENG102,T023,Main
ENG102,T024,Co
ENG103,T023,Main
ENG103,T020,Co
ENG104,T023,Main
MAT501,T026,Main
MAT501,T030,Co
MAT502,T028,Main
MAT503,T027,Main
MAT504,T030,Main
MAT401,T025,Main
MAT401,T026,Co
MAT402,T029,Main
MAT403,T028,Main
MAT404,T025,Main
MAT404,T030,Co
MAT301,T026,Main
MAT301,T025,Co
MAT302,T028,Main
MAT302,T025,Co
MAT303,T030,Main
MAT304,T028,Main
MAT201,T026,Main
MAT202,T029,Main
MAT203,T026,Main
MAT204,T029,Main
MAT204,T028,Co
MAT101,T030,Main
MAT102,T026,Main
MAT103,T027,Main
MAT104,T028,Main
PHY501,T033,Main
PHY502,T034,Main
PHY503,T032,Main
PHY504,T031,Main
PHY401,T034,Main
PHY402,T034,Main
PHY403,T031,Main
PHY404,T036,Main
PHY301,T032,Main
PHY302,T033,Main
PHY303,T036,Main
PHY304,T036,Main
PHY201,T032,Main
PHY202,T032,Main
PHY202,T036,Co
PHY203,T035,Main
PHY203,T032,Co
PHY204,T032,Main
PHY204,T033,Co
PHY101,T036,Main
PHY102,T034,Main
PHY103,T035,Main
PHY103,T032,Co
PHY104,T034,Main
