course_id,course_code,course_name,dept_code,session,year_level,credit,exam_duration_hours,exam_type
CSE501,CSE-501,Computer Science and Engineering Year 5 Course 1,CSE,2021-22,5,2,3,Theory
CSE502,CSE-502,Computer Science and Engineering Year 5 Course 2,CSE,2021-22,5,3,3,Theory
CSE503,CSE-503,Computer Science and Engineering Year 5 Course 3,CSE,2021-22,5,4,3,Theory
CSE504,CSE-504,Computer Science and Engineering Year 5 Course 4,CSE,2021-22,5,4,3,Theory
CSE401,CSE-401,Computer Science and Engineering Year 4 Course 1,CSE,2022-23,4,4,3,Theory
CSE402,CSE-402,Computer Science and Engineering Year 4 Course 2,CSE,2022-23,4,2,3,Theory
CSE403,CSE-403,Computer Science and Engineering Year 4 Course 3,CSE,2022-23,4,2,3,Theory
CSE404,CSE-404,Computer Science and Engineering Year 4 Course 4,CSE,2022-23,4,4,3,Theory
CSE301,CSE-301,Computer Science and Engineering Year 3 Course 1,CSE,2023-24,3,4,3,Theory
CSE302,CSE-302,Computer Science and Engineering Year 3 Course 2,CSE,2023-24,3,4,3,Theory
CSE303,CSE-303,Computer Science and Engineering Year 3 Course 3,CSE,2023-24,3,3,3,Theory
CSE304,CSE-304,Computer Science and Engineering Year 3 Course 4,CSE,2023-24,3,4,3,Theory
CSE201,CSE-201,Computer Science and Engineering Year 2 Course 1,CSE,2024-25,2,4,3,Theory
CSE202,CSE-202,Computer Science and Engineering Year 2 Course 2,CSE,2024-25,2,4,3,Theory
CSE203,CSE-203,Computer Science and Engineering Year 2 Course 3,CSE,2024-25,2,3,3,Theory
CSE204,CSE-204,Computer Science and Engineering Year 2 Course 4,CSE,2024-25,2,4,3,Theory
CSE101,CSE-101,Computer Science and Engineering Year 1 Course 1,CSE,2025-26,1,3,3,Theory
CSE102,CSE-102,Computer Science and Engineering Year 1 Course 2,CSE,2025-26,1,2,3,Theory
CSE103,CSE-103,Computer Science and Engineering Year 1 Course 3,CSE,2025-26,1,2,3,Theory
CSE104,CSE-104,Computer Science and Engineering Year 1 Course 4,CSE,2025-26,1,4,3,Theory
EEE501,EEE-501,Electrical and Electronic Engineering Year 5 Course 1,EEE,2021-22,5,2,3,Theory
EEE502,EEE-502,Electrical and Electronic Engineering Year 5 Course 2,EEE,2021-22,5,2,3,Theory
EEE503,EEE-503,Electrical and Electronic Engineering Year 5 Course 3,EEE,2021-22,5,3,3,Theory
EEE504,EEE-504,Electrical and Electronic Engineering Year 5 Course 4,EEE,2021-22,5,2,3,Theory
