student_id,course_id,enrollment_type
CSE-202122-001,CSE501,Regular
CSE-202122-001,CSE502,Regular
CSE-202122-001,CSE503,Regular
CSE-202122-001,CSE504,Regular
CSE-202122-002,CSE501,Regular
CSE-202122-002,CSE502,Regular
CSE-202122-002,CSE503,Regular
CSE-202122-002,CSE504,Regular
CSE-202122-003,CSE501,Regular
CSE-202122-003,CSE502,Regular
CSE-202122-003,CSE503,Regular
CSE-202122-003,CSE504,Regular
CSE-202122-004,CSE501,Regular
CSE-202122-004,CSE502,Regular
CSE-202122-004,CSE503,Regular
CSE-202122-004,CSE504,Regular
CSE-202122-005,CSE501,Regular
CSE-202122-005,CSE502,Regular
CSE-202122-005,CSE503,Regular
CSE-202122-005,CSE504,Regular
CSE-202122-005,MAT501,Elective
CSE-202122-006,CSE501,Regular
CSE-202122-006,CSE502,Regular
CSE-202122-006,CSE503,Regular
CSE-202122-006,CSE504,Regular
CSE-202122-007,CSE501,Regular
CSE-202122-007,CSE502,Regular
CSE-202122-007,CSE503,Regular
CSE-202122-007,CSE504,Regular
CSE-202122-008,CSE501,Regular
CSE-202122-008,CSE502,Regular
CSE-202122-008,CSE503,Regular
CSE-202122-008,CSE504,Regular
CSE-202122-008,BBA502,Elective
CSE-202122-009,CSE501,Regular
CSE-202122-009,CSE502,Regular
CSE-202122-009,CSE503,Regular
CSE-202122-009,CSE504,Regular
CSE-202122-010,CSE501,Regular
CSE-202122-010,CSE502,Regular
CSE-202122-010,CSE503,Regular
CSE-202122-010,CSE504,Regular
CSE-202122-011,CSE501,Regular
CSE-202122-011,CSE502,Regular
CSE-202122-011,CSE503,Regular
CSE-202122-011,CSE504,Regular
CSE-202122-012,CSE501,Regular
CSE-202122-012,CSE502,Regular
CSE-202122-012,CSE503,Regular
CSE-202122-012,CSE504,Regular
CSE-202122-013,CSE501,Regular
CSE-202122-013,CSE502,Regular
CSE-202122-013,CSE503,Regular
CSE-202122-013,CSE504,Regular
CSE-202122-013,EEE501,Elective
CSE-202122-014,CSE501,Regular
CSE-202122-014,CSE502,Regular
CSE-202122-014,CSE503,Regular
CSE-202122-014,CSE504,Regular
CSE-202122-015,CSE501,Regular
CSE-202122-015,CSE502,Regular
CSE-202122-015,CSE503,Regular
CSE-202122-015,CSE504,Regular
CSE-202223-001,CSE401,Regular
CSE-202223-001,CSE402,Regular
CSE-202223-001,CSE403,Regular
CSE-202223-001,CSE404,Regular
CSE-202223-001,PHY402,Elective
CSE-202223-002,CSE401,Regular
CSE-202223-002,CSE402,Regular
CSE-202223-002,CSE403,Regular
CSE-202223-002,CSE404,Regular
CSE-202223-003,CSE401,Regular
CSE-202223-003,CSE402,Regular
CSE-202223-003,CSE403,Regular
CSE-202223-003,CSE404,Regular
CSE-202223-004,CSE401,Regular
CSE-202223-004,CSE402,Regular
CSE-202223-004,CSE403,Regular
CSE-202223-004,CSE404,Regular
CSE-202223-005,CSE401,Regular
CSE-202223-005,CSE402,Regular
CSE-202223-005,CSE403,Regular
CSE-202223-005,CSE404,Regular
CSE-202223-006,CSE401,Regular
CSE-202223-006,CSE402,Regular
CSE-202223-006,CSE403,Regular
CSE-202223-006,CSE404,Regular
CSE-202223-007,CSE401,Regular
CSE-202223-007,CSE402,Regular
CSE-202223-007,CSE403,Regular
CSE-202223-007,CSE404,Regular
CSE-202223-008,CSE401,Regular
CSE-202223-008,CSE402,Regular
CSE-202223-008,CSE403,Regular
CSE-202223-008,CSE404,Regular
CSE-202223-008,EEE404,Elective
CSE-202223-009,CSE401,Regular
CSE-202223-009,CSE402,Regular
CSE-202223-009,CSE403,Regular
CSE-202223-009,CSE404,Regular
CSE-202223-009,MAT404,Elective
CSE-202223-010,CSE401,Regular
CSE-202223-010,CSE402,Regular
CSE-202223-010,CSE403,Regular
CSE-202223-010,CSE404,Regular
CSE-202223-011,CSE401,Regular
CSE-202223-011,CSE402,Regular
CSE-202223-011,CSE403,Regular
CSE-202223-011,CSE404,Regular
CSE-202223-012,CSE401,Regular
CSE-202223-012,CSE402,Regular
CSE-202223-012,CSE403,Regular
CSE-202223-012,CSE404,Regular
CSE-202223-013,CSE401,Regular
CSE-202223-013,CSE402,Regular
CSE-202223-013,CSE403,Regular
CSE-202223-013,CSE404,Regular
CSE-202223-013,PHY401,Elective
CSE-202223-014,CSE401,Regular
CSE-202223-014,CSE402,Regular
CSE-202223-014,CSE403,Regular
CSE-202223-014,CSE404,Regular
CSE-202223-015,CSE401,Regular
CSE-202223-015,CSE402,Regular
CSE-202223-015,CSE403,Regular
CSE-202223-015,CSE404,Regular
CSE-202324-001,CSE301,Regular
CSE-202324-001,CSE302,Regular
CSE-202324-001,CSE303,Regular
CSE-202324-001,CSE304,Regular
CSE-202324-002,CSE301,Regular
CSE-202324-002,CSE302,Regular
CSE-202324-002,CSE303,Regular
CSE-202324-002,CSE304,Regular
CSE-202324-003,CSE301,Regular
CSE-202324-003,CSE302,Regular
CSE-202324-003,CSE303,Regular
CSE-202324-003,CSE304,Regular
CSE-202324-004,CSE301,Regular
CSE-202324-004,CSE302,Regular
CSE-202324-004,CSE303,Regular
CSE-202324-004,CSE304,Regular
CSE-202324-005,CSE301,Regular
CSE-202324-005,CSE302,Regular
CSE-202324-005,CSE303,Regular
CSE-202324-005,CSE304,Regular
CSE-202324-006,CSE301,Regular
CSE-202324-006,CSE302,Regular
CSE-202324-006,CSE303,Regular
CSE-202324-006,CSE304,Regular
CSE-202324-007,CSE301,Regular
CSE-202324-007,CSE302,Regular
CSE-202324-007,CSE303,Regular
CSE-202324-007,CSE304,Regular
CSE-202324-008,CSE301,Regular
CSE-202324-008,CSE302,Regular
CSE-202324-008,CSE303,Regular
CSE-202324-008,CSE304,Regular
CSE-202324-009,CSE301,Regular
CSE-202324-009,CSE302,Regular
CSE-202324-009,CSE303,Regular
CSE-202324-009,CSE304,Regular
CSE-202324-010,CSE301,Regular
CSE-202324-010,CSE302,Regular
CSE-202324-010,CSE303,Regular
CSE-202324-010,CSE304,Regular
CSE-202324-011,CSE301,Regular
CSE-202324-011,CSE302,Regular
CSE-202324-011,CSE303,Regular
CSE-202324-011,CSE304,Regular
CSE-202324-012,CSE301,Regular
CSE-202324-012,CSE302,Regular
CSE-202324-012,CSE303,Regular
CSE-202324-012,CSE304,Regular
CSE-202324-013,CSE301,Regular
CSE-202324-013,CSE302,Regular
CSE-202324-013,CSE303,Regular
CSE-202324-013,CSE304,Regular
CSE-202324-014,CSE301,Regular
CSE-202324-014,CSE302,Regular
CSE-202324-014,CSE303,Regular
CSE-202324-014,CSE304,Regular
CSE-202324-015,CSE301,Regular
CSE-202324-015,CSE302,Regular
CSE-202324-015,CSE303,Regular
CSE-202324-015,CSE304,Regular
CSE-202425-001,CSE201,Regular
CSE-202425-001,CSE202,Regular
CSE-202425-001,CSE203,Regular
CSE-202425-001,CSE204,Regular
CSE-202425-002,CSE201,Regular
CSE-202425-002,CSE202,Regular
CSE-202425-002,CSE203,Regular
CSE-202425-002,CSE204,Regular
CSE-202425-003,CSE201,Regular
CSE-202425-003,CSE202,Regular
CSE-202425-003,CSE203,Regular
CSE-202425-003,CSE204,Regular
CSE-202425-004,CSE201,Regular
CSE-202425-004,CSE202,Regular
CSE-202425-004,CSE203,Regular
CSE-202425-004,CSE204,Regular
CSE-202425-005,CSE201,Regular
CSE-202425-005,CSE202,Regular
CSE-202425-005,CSE203,Regular
CSE-202425-005,CSE204,Regular
CSE-202425-005,BBA201,Elective
CSE-202425-006,CSE201,Regular
CSE-202425-006,CSE202,Regular
CSE-202425-006,CSE203,Regular
CSE-202425-006,CSE204,Regular
CSE-202425-007,CSE201,Regular
CSE-202425-007,CSE202,Regular
CSE-202425-007,CSE203,Regular
CSE-202425-007,CSE204,Regular
CSE-202425-008,CSE201,Regular
CSE-202425-008,CSE202,Regular
CSE-202425-008,CSE203,Regular
CSE-202425-008,CSE204,Regular
CSE-202425-009,CSE201,Regular
CSE-202425-009,CSE202,Regular
CSE-202425-009,CSE203,Regular
CSE-202425-009,CSE204,Regular
CSE-202425-010,CSE201,Regular
CSE-202425-010,CSE202,Regular
CSE-202425-010,CSE203,Regular
CSE-202425-010,CSE204,Regular
CSE-202425-011,CSE201,Regular
CSE-202425-011,CSE202,Regular
CSE-202425-011,CSE203,Regular
CSE-202425-011,CSE204,Regular
CSE-202425-012,CSE201,Regular
CSE-202425-012,CSE202,Regular
CSE-202425-012,CSE203,Regular
CSE-202425-012,CSE204,Regular
CSE-202425-012,EEE204,Elective
CSE-202425-013,CSE201,Regular
CSE-202425-013,CSE202,Regular
CSE-202425-013,CSE203,Regular
CSE-202425-013,CSE204,Regular
CSE-202425-014,CSE201,Regular
CSE-202425-014,CSE202,Regular
CSE-202425-014,CSE203,Regular
CSE-202425-014,CSE204,Regular
CSE-202425-014,ENG204,Elective
CSE-202425-015,CSE201,Regular
CSE-202425-015,CSE202,Regular
CSE-202425-015,CSE203,Regular
CSE-202425-015,CSE204,Regular
CSE-202526-001,CSE101,Regular
CSE-202526-001,CSE102,Regular
CSE-202526-001,CSE103,Regular
CSE-202526-001,CSE104,Regular
CSE-202526-002,CSE101,Regular
CSE-202526-002,CSE102,Regular
CSE-202526-002,CSE103,Regular
CSE-202526-002,CSE104,Regular
CSE-202526-003,CSE101,Regular
CSE-202526-003,CSE102,Regular
CSE-202526-003,CSE103,Regular
CSE-202526-003,CSE104,Regular
CSE-202526-004,CSE101,Regular
CSE-202526-004,CSE102,Regular
CSE-202526-004,CSE103,Regular
CSE-202526-004,CSE104,Regular
CSE-202526-005,CSE101,Regular
CSE-202526-005,CSE102,Regular
CSE-202526-005,CSE103,Regular
CSE-202526-005,CSE104,Regular
CSE-202526-006,CSE101,Regular
CSE-202526-006,CSE102,Regular
CSE-202526-006,CSE103,Regular
CSE-202526-006,CSE104,Regular
CSE-202526-007,CSE101,Regular
CSE-202526-007,CSE102,Regular
CSE-202526-007,CSE103,Regular
CSE-202526-007,CSE104,Regular
CSE-202526-008,CSE101,Regular
CSE-202526-008,CSE102,Regular
CSE-202526-008,CSE103,Regular
CSE-202526-008,CSE104,Regular
CSE-202526-009,CSE101,Regular
CSE-202526-009,CSE102,Regular
CSE-202526-009,CSE103,Regular
CSE-202526-009,CSE104,Regular
CSE-202526-010,CSE101,Regular
CSE-202526-010,CSE102,Regular
CSE-202526-010,CSE103,Regular
CSE-202526-010,CSE104,Regular
CSE-202526-011,CSE101,Regular
CSE-202526-011,CSE102,Regular
CSE-202526-011,CSE103,Regular
CSE-202526-011,CSE104,Regular
CSE-202526-012,CSE101,Regular
CSE-202526-012,CSE102,Regular
CSE-202526-012,CSE103,Regular
CSE-202526-012,CSE104,Regular
CSE-202526-012,PHY101,Elective
CSE-202526-013,CSE101,Regular
CSE-202526-013,CSE102,Regular
CSE-202526-013,CSE103,Regular
CSE-202526-013,CSE104,Regular
CSE-202526-013,ENG104,Elective
CSE-202526-014,CSE101,Regular
CSE-202526-014,CSE102,Regular
CSE-202526-014,CSE103,Regular
CSE-202526-014,CSE104,Regular
CSE-202526-015,CSE101,Regular
CSE-202526-015,CSE102,Regular
CSE-202526-015,CSE103,Regular
CSE-202526-015,CSE104,Regular
EEE-202122-001,EEE501,Regular
EEE-202122-001,EEE502,Regular
EEE-202122-001,EEE503,Regular
EEE-202122-001,EEE504,Regular
EEE-202122-002,EEE501,Regular
EEE-202122-002,EEE502,Regular
EEE-202122-002,EEE503,Regular
EEE-202122-002,EEE504,Regular
EEE-202122-003,EEE501,Regular
EEE-202122-003,EEE502,Regular
EEE-202122-003,EEE503,Regular
EEE-202122-003,EEE504,Regular
EEE-202122-004,EEE501,Regular
EEE-202122-004,EEE502,Regular
EEE-202122-004,EEE503,Regular
EEE-202122-004,EEE504,Regular
EEE-202122-004,ENG504,Elective
EEE-202122-005,EEE501,Regular
EEE-202122-005,EEE502,Regular
EEE-202122-005,EEE503,Regular
