course_id,timeslot_id,room_id,required_invigilators,invigilator_1,invigilator_2,invigilator_3
CSE501,TS07,R11,1,T002,,
CSE502,TS10,R11,1,T001,,
CSE503,TS08,R11,1,T003,,
CSE504,TS09,R11,1,T004,,
CSE401,TS07,R12,1,T007,,
CSE402,TS06,R11,1,T005,,
CSE403,TS03,R11,1,T010,,
CSE404,TS02,R11,1,T006,,
CSE301,TS11,R11,1,T008,,
CSE302,TS08,R12,1,T009,,
CSE303,TS10,R12,1,T011,,
CSE304,TS09,R12,1,T012,,
CSE201,TS04,R11,1,T013,,
CSE202,TS03,R12,1,T014,,
CSE203,TS06,R12,1,T015,,
CSE204,TS05,R11,1,T016,,
CSE101,TS06,R07,1,T017,,
CSE102,TS05,R12,1,T020,,
CSE103,TS01,R11,1,T018,,
CSE104,TS03,R07,1,T019,,
EEE501,TS01,R12,1,T021,,
EEE502,TS10,R07,1,T023,,
EEE503,TS09,R07,1,T022,,
EEE504,TS07,R07,1,T024,,
EEE401,TS03,R06,1,T025,,
EEE402,TS02,R12,1,T026,,
EEE403,TS04,R12,1,T027,,
EEE404,TS05,R07,1,T028,,
EEE301,TS11,R12,1,T030,,
EEE302,TS10,R06,1,T029,,
EEE303,TS08,R07,1,T031,,
EEE304,TS09,R06,1,T032,,
EEE201,TS06,R06,1,T033,,
EEE202,TS03,R05,2,T034,T036,
EEE203,TS04,R07,1,T035,,
EEE204,TS02,R07,1,T001,,
EEE101,TS03,R10,2,T002,T003,
EEE102,TS07,R06,1,T004,,
EEE103,TS06,R05,2,T006,T008,
EEE104,TS05,R06,1,T005,,
BBA501,TS10,R05,2,T007,T009,
BBA502,TS01,R07,1,T011,,
BBA503,TS08,R06,1,T012,,
BBA504,TS07,R05,2,T010,T013,
BBA401,TS03,R03,2,T015,T018,
BBA402,TS02,R06,1,T014,,
BBA403,TS01,R06,1,T016,,
BBA404,TS05,R05,2,T021,T022,
BBA301,TS12,R11,1,T017,,
BBA302,TS08,R05,2,T019,T020,
BBA303,TS11,R07,1,T023,,
BBA304,TS09,R05,2,T025,T026,
BBA201,TS02,R05,2,T024,T029,
BBA202,TS07,R10,2,T027,T028,
BBA203,TS04,R06,1,T030,,
BBA204,TS03,R04,2,T031,T032,
BBA101,TS05,R10,2,T033,T036,
BBA102,TS06,R10,2,T034,T035,
BBA103,TS04,R05,2,T001,T002,
BBA104,TS03,R08,3,T004,T005,T007
ENG501,TS04,R10,2,T006,T008,
ENG502,TS06,R03,2,T003,T009,
ENG503,TS08,R10,2,T011,T013,
ENG504,TS02,R10,2,T010,T015,
ENG401,TS05,R03,2,T012,T023,
ENG402,TS04,R03,2,T016,T019,
ENG403,TS03,R09,3,T020,T022,T024
ENG404,TS01,R05,2,T017,T025,
ENG301,TS09,R10,2,T014,T018,
ENG302,TS12,R12,1,T026,,
ENG303,TS11,R06,1,T021,,
ENG304,TS10,R10,2,T027,T028,
ENG201,TS03,R02,3,T029,T030,T033
ENG202,TS07,R03,2,T031,T032,
ENG203,TS06,R04,2,T036,T001,
ENG204,TS01,R10,2,T035,T002,
ENG101,TS05,R04,2,T003,T004,
ENG102,TS04,R04,2,T034,T005,
ENG103,TS03,R01,3,T012,T013,T016
ENG104,TS02,R03,2,T007,T008,
MAT501,TS01,R03,2,T006,T009,
MAT502,TS07,R04,2,T011,T014,
MAT503,TS09,R03,2,T010,T015,
MAT504,TS10,R03,2,T017,T018,
MAT401,TS06,R08,3,T019,T020,T021
MAT402,TS05,R08,3,T024,T025,T026
MAT403,TS04,R08,3,T022,T023,T029
MAT404,TS01,R04,2,T027,T028,
MAT301,TS08,R03,2,T030,T032,
MAT302,TS12,R07,1,T031,,
MAT303,TS10,R04,2,T033,T034,
MAT304,TS11,R05,2,T035,T036,
MAT201,TS01,R08,3,T001,T003,T004
MAT202,TS08,R04,2,T002,T005,
MAT203,TS07,R08,3,T006,T008,T009
MAT204,TS02,R04,2,T011,T013,
MAT101,TS05,R09,3,T010,T027,T029
MAT102,TS04,R09,3,T007,T012,T015
MAT103,TS02,R08,3,T016,T017,T018
MAT104,TS01,R09,3,T019,T020,T022
PHY501,TS07,R09,3,T021,T023,T025
PHY502,TS09,R04,2,T028,T030,
PHY503,TS08,R08,3,T024,T026,T033
PHY504,TS01,R02,3,T032,T036,T005
PHY401,TS05,R02,3,T031,T001,T002
PHY402,TS04,R02,3,T004,T009,T010
PHY403,TS06,R09,3,T014,T007,T011
PHY404,TS02,R09,3,T034,T035,T003
PHY301,TS12,R06,1,T006,,
PHY302,TS11,R10,2,T012,T013,
PHY303,TS10,R08,3,T008,T014,T015
PHY304,TS01,R01,3,T024,T026,T029
PHY201,TS02,R02,3,T019,T020,T021
PHY202,TS05,R01,3,T030,T006,
PHY203,TS07,R02,3,T016,T017,T018
PHY204,TS06,R02,3,T022,T023,T025
PHY101,TS04,R01,3,T028,T031,T032
PHY102,TS07,R01,3,T033,T035,T001
PHY103,TS06,R01,3,T004,T010,T016
PHY104,TS02,R01,3,T036,T022,T023
