course_id,timeslot_id,room_id,room_name,student_count,room_capacity
CSE501,TS07,R11,Seminar Room 301,16,60
CSE502,TS10,R11,Seminar Room 301,15,60
CSE503,TS08,R11,Seminar Room 301,16,60
CSE504,TS09,R11,Seminar Room 301,16,60
CSE401,TS07,R12,Seminar Room 302,15,60
CSE402,TS06,R11,Seminar Room 301,15,60
CSE403,TS03,R11,Seminar Room 301,15,60
CSE404,TS02,R11,Seminar Room 301,16,60
CSE301,TS11,R11,Seminar Room 301,15,60
CSE302,TS08,R12,Seminar Room 302,16,60
CSE303,TS10,R12,Seminar Room 302,15,60
CSE304,TS09,R12,Seminar Room 302,16,60
CSE201,TS04,R11,Seminar Room 301,17,60
CSE202,TS03,R12,Seminar Room 302,17,60
CSE203,TS06,R12,Seminar Room 302,15,60
CSE204,TS05,R11,Seminar Room 301,15,60
CSE101,TS06,R07,Engineering Lab Hall,15,70
CSE102,TS05,R12,Seminar Room 302,15,60
CSE103,TS01,R11,Seminar Room 301,19,60
CSE104,TS03,R07,Engineering Lab Hall,15,70
EEE501,TS01,R12,Seminar Room 302,18,60
EEE502,TS10,R07,Engineering Lab Hall,15,70
EEE503,TS09,R07,Engineering Lab Hall,15,70
EEE504,TS07,R07,Engineering Lab Hall,15,70
EEE401,TS03,R06,Business Hall 202,15,90
EEE402,TS02,R12,Seminar Room 302,15,60
EEE403,TS04,R12,Seminar Room 302,16,60
EEE404,TS05,R07,Engineering Lab Hall,16,70
EEE301,TS11,R12,Seminar Room 302,15,60
EEE302,TS10,R06,Business Hall 202,15,90
EEE303,TS08,R07,Engineering Lab Hall,15,70
EEE304,TS09,R06,Business Hall 202,16,90
EEE201,TS06,R06,Business Hall 202,15,90
EEE202,TS03,R05,Business Hall 201,15,100
EEE203,TS04,R07,Engineering Lab Hall,17,70
EEE204,TS02,R07,Engineering Lab Hall,17,70
EEE101,TS03,R10,English Hall,16,110
EEE102,TS07,R06,Business Hall 202,15,90
EEE103,TS06,R05,Business Hall 201,15,100
EEE104,TS05,R06,Business Hall 202,15,90
BBA501,TS10,R05,Business Hall 201,15,100
BBA502,TS01,R07,Engineering Lab Hall,16,70
BBA503,TS08,R06,Business Hall 202,16,90
BBA504,TS07,R05,Business Hall 201,15,100
BBA401,TS03,R03,Academic Hall 101,17,130
BBA402,TS02,R06,Business Hall 202,16,90
BBA403,TS01,R06,Business Hall 202,16,90
BBA404,TS05,R05,Business Hall 201,15,100
BBA301,TS12,R11,Seminar Room 301,15,60
BBA302,TS08,R05,Business Hall 201,17,100
BBA303,TS11,R07,Engineering Lab Hall,15,70
BBA304,TS09,R05,Business Hall 201,16,100
BBA201,TS02,R05,Business Hall 201,16,100
BBA202,TS07,R10,English Hall,16,110
BBA203,TS04,R06,Business Hall 202,16,90
BBA204,TS03,R04,Academic Hall 102,15,130
BBA101,TS05,R10,English Hall,16,110
BBA102,TS06,R10,English Hall,15,110
BBA103,TS04,R05,Business Hall 201,16,100
BBA104,TS03,R08,Physics Gallery,16,150
ENG501,TS04,R10,English Hall,16,110
ENG502,TS06,R03,Academic Hall 101,16,130
ENG503,TS08,R10,English Hall,15,110
ENG504,TS02,R10,English Hall,16,110
ENG401,TS05,R03,Academic Hall 101,15,130
ENG402,TS04,R03,Academic Hall 101,15,130
ENG403,TS03,R09,Math Gallery,15,150
ENG404,TS01,R05,Business Hall 201,16,100
ENG301,TS09,R10,English Hall,16,110
ENG302,TS12,R12,Seminar Room 302,15,60
ENG303,TS11,R06,Business Hall 202,15,90
ENG304,TS10,R10,English Hall,15,110
ENG201,TS03,R02,Central Hall B,17,180
ENG202,TS07,R03,Academic Hall 101,15,130
ENG203,TS06,R04,Academic Hall 102,15,130
ENG204,TS01,R10,English Hall,17,110
ENG101,TS05,R04,Academic Hall 102,15,130
ENG102,TS04,R04,Academic Hall 102,15,130
ENG103,TS03,R01,Central Hall A,16,220
ENG104,TS02,R03,Academic Hall 101,18,130
MAT501,TS01,R03,Academic Hall 101,17,130
MAT502,TS07,R04,Academic Hall 102,16,130
MAT503,TS09,R03,Academic Hall 101,16,130
MAT504,TS10,R03,Academic Hall 101,15,130
MAT401,TS06,R08,Physics Gallery,15,150
MAT402,TS05,R08,Physics Gallery,15,150
MAT403,TS04,R08,Physics Gallery,15,150
MAT404,TS01,R04,Academic Hall 102,17,130
MAT301,TS08,R03,Academic Hall 101,16,130
MAT302,TS12,R07,Engineering Lab Hall,15,70
MAT303,TS10,R04,Academic Hall 102,16,130
MAT304,TS11,R05,Business Hall 201,15,100
MAT201,TS01,R08,Physics Gallery,17,150
MAT202,TS08,R04,Academic Hall 102,15,130
MAT203,TS07,R08,Physics Gallery,15,150
MAT204,TS02,R04,Academic Hall 102,15,130
MAT101,TS05,R09,Math Gallery,15,150
MAT102,TS04,R09,Math Gallery,15,150
MAT103,TS02,R08,Physics Gallery,15,150
MAT104,TS01,R09,Math Gallery,17,150
PHY501,TS07,R09,Math Gallery,16,150
PHY502,TS09,R04,Academic Hall 102,16,130
PHY503,TS08,R08,Physics Gallery,16,150
PHY504,TS01,R02,Central Hall B,16,180
PHY401,TS05,R02,Central Hall B,16,180
PHY402,TS04,R02,Central Hall B,16,180
PHY403,TS06,R09,Math Gallery,15,150
PHY404,TS02,R09,Math Gallery,17,150
PHY301,TS12,R06,Business Hall 202,15,90
PHY302,TS11,R10,English Hall,15,110
PHY303,TS10,R08,Physics Gallery,17,150
PHY304,TS01,R01,Central Hall A,17,220
PHY201,TS02,R02,Central Hall B,17,180
PHY202,TS05,R01,Central Hall A,16,220
PHY203,TS07,R02,Central Hall B,15,180
PHY204,TS06,R02,Central Hall B,16,180
PHY101,TS04,R01,Central Hall A,16,220
PHY102,TS07,R01,Central Hall A,15,220
PHY103,TS06,R01,Central Hall A,15,220
PHY104,TS02,R01,Central Hall A,16,220
