course_id,course_code,dept_code,session,year_level,timeslot_id,student_count
CSE501,CSE-501,CSE,2021-22,5,TS07,16
CSE502,CSE-502,CSE,2021-22,5,TS10,15
CSE503,CSE-503,CSE,2021-22,5,TS08,16
CSE504,CSE-504,CSE,2021-22,5,TS09,16
CSE401,CSE-401,CSE,2022-23,4,TS07,15
CSE402,CSE-402,CSE,2022-23,4,TS06,15
CSE403,CSE-403,CSE,2022-23,4,TS03,15
CSE404,CSE-404,CSE,2022-23,4,TS02,16
CSE301,CSE-301,CSE,2023-24,3,TS11,15
CSE302,CSE-302,CSE,2023-24,3,TS08,16
CSE303,CSE-303,CSE,2023-24,3,TS10,15
CSE304,CSE-304,CSE,2023-24,3,TS09,16
CSE201,CSE-201,CSE,2024-25,2,TS04,17
CSE202,CSE-202,CSE,2024-25,2,TS03,17
CSE203,CSE-203,CSE,2024-25,2,TS06,15
CSE204,CSE-204,CSE,2024-25,2,TS05,15
CSE101,CSE-101,CSE,2025-26,1,TS06,15
CSE102,CSE-102,CSE,2025-26,1,TS05,15
CSE103,CSE-103,CSE,2025-26,1,TS01,19
CSE104,CSE-104,CSE,2025-26,1,TS03,15
EEE501,EEE-501,EEE,2021-22,5,TS01,18
EEE502,EEE-502,EEE,2021-22,5,TS10,15
EEE503,EEE-503,EEE,2021-22,5,TS09,15
EEE504,EEE-504,EEE,2021-22,5,TS07,15
EEE401,EEE-401,EEE,2022-23,4,TS03,15
EEE402,EEE-402,EEE,2022-23,4,TS02,15
EEE403,EEE-403,EEE,2022-23,4,TS04,16
EEE404,EEE-404,EEE,2022-23,4,TS05,16
EEE301,EEE-301,EEE,2023-24,3,TS11,15
EEE302,EEE-302,EEE,2023-24,3,TS10,15
EEE303,EEE-303,EEE,2023-24,3,TS08,15
EEE304,EEE-304,EEE,2023-24,3,TS09,16
EEE201,EEE-201,EEE,2024-25,2,TS06,15
EEE202,EEE-202,EEE,2024-25,2,TS03,15
EEE203,EEE-203,EEE,2024-25,2,TS04,17
EEE204,EEE-204,EEE,2024-25,2,TS02,17
EEE101,EEE-101,EEE,2025-26,1,TS03,16
EEE102,EEE-102,EEE,2025-26,1,TS07,15
EEE103,EEE-103,EEE,2025-26,1,TS06,15
EEE104,EEE-104,EEE,2025-26,1,TS05,15
BBA501,BBA-501,BBA,2021-22,5,TS10,15
BBA502,BBA-502,BBA,2021-22,5,TS01,16
BBA503,BBA-503,BBA,2021-22,5,TS08,16
BBA504,BBA-504,BBA,2021-22,5,TS07,15
BBA401,BBA-401,BBA,2022-23,4,TS03,17
BBA402,BBA-402,BBA,2022-23,4,TS02,16
