teacher_id,timeslot_id,available
T001,TS01,1
T001,TS02,1
T001,TS03,1
T001,TS04,1
T001,TS05,1
T001,TS06,1
T001,TS07,1
T001,TS08,0
T001,TS09,1
T001,TS10,1
T001,TS11,1
T001,TS12,0
T001,TS13,0
T001,TS14,1
T001,TS15,1
T001,TS16,1
T001,TS17,1
T001,TS18,1
T001,TS19,1
T001,TS20,1
T001,TS21,1
T001,TS22,1
T001,TS23,1
T001,TS24,1
T001,TS25,1
T001,TS26,1
T001,TS27,1
T001,TS28,1
T001,TS29,1
T001,TS30,1
T001,TS31,1
T001,TS32,1
T001,TS33,1
T001,TS34,0
T001,TS35,1
T001,TS36,1
T001,TS37,1
T001,TS38,1
T001,TS39,1
T001,TS40,1
T002,TS01,1
T002,TS02,0
T002,TS03,1
T002,TS04,1
T002,TS05,1
T002,TS06,0
T002,TS07,1
T002,TS08,1
T002,TS09,0
T002,TS10,1
T002,TS11,1
T002,TS12,1
T002,TS13,1
T002,TS14,1
T002,TS15,1
T002,TS16,1
T002,TS17,1
T002,TS18,0
T002,TS19,1
T002,TS20,1
T002,TS21,1
T002,TS22,1
T002,TS23,1
T002,TS24,0
T002,TS25,1
T002,TS26,1
T002,TS27,1
T002,TS28,1
T002,TS29,1
T002,TS30,1
T002,TS31,1
T002,TS32,0
T002,TS33,1
T002,TS34,1
T002,TS35,1
T002,TS36,1
T002,TS37,0
T002,TS38,1
T002,TS39,1
T002,TS40,1
T003,TS01,1
T003,TS02,1
T003,TS03,1
T003,TS04,0
T003,TS05,1
T003,TS06,1
T003,TS07,1
T003,TS08,1
T003,TS09,1
T003,TS10,1
T003,TS11,1
T003,TS12,0
T003,TS13,1
T003,TS14,1
T003,TS15,1
T003,TS16,1
T003,TS17,1
T003,TS18,1
T003,TS19,1
T003,TS20,1
T003,TS21,1
T003,TS22,1
T003,TS23,1
T003,TS24,1
T003,TS25,1
T003,TS26,1
T003,TS27,1
T003,TS28,1
T003,TS29,1
T003,TS30,1
T003,TS31,1
T003,TS32,0
T003,TS33,1
T003,TS34,1
T003,TS35,1
T003,TS36,1
T003,TS37,1
T003,TS38,1
T003,TS39,1
T003,TS40,0
T004,TS01,1
T004,TS02,1
T004,TS03,1
T004,TS04,1
T004,TS05,1
T004,TS06,1
T004,TS07,1
T004,TS08,1
T004,TS09,1
T004,TS10,1
T004,TS11,0
T004,TS12,1
T004,TS13,1
T004,TS14,1
T004,TS15,1
T004,TS16,1
T004,TS17,1
T004,TS18,1
T004,TS19,1
T004,TS20,1
T004,TS21,0
T004,TS22,0
T004,TS23,1
T004,TS24,1
T004,TS25,0
T004,TS26,1
T004,TS27,1
T004,TS28,1
T004,TS29,1
T004,TS30,1
T004,TS31,1
T004,TS32,0
T004,TS33,1
T004,TS34,1
T004,TS35,1
T004,TS36,1
T004,TS37,1
T004,TS38,1
T004,TS39,1
T004,TS40,1
T005,TS01,1
T005,TS02,1
T005,TS03,1
T005,TS04,1
T005,TS05,1
T005,TS06,1
T005,TS07,0
T005,TS08,1
T005,TS09,1
T005,TS10,1
T005,TS11,1
T005,TS12,1
T005,TS13,0
T005,TS14,0
T005,TS15,1
T005,TS16,1
T005,TS17,1
T005,TS18,1
T005,TS19,1
T005,TS20,1
T005,TS21,1
T005,TS22,1
T005,TS23,1
T005,TS24,1
T005,TS25,1
T005,TS26,0
T005,TS27,1
T005,TS28,1
T005,TS29,1
T005,TS30,1
T005,TS31,0
T005,TS32,0
T005,TS33,0
T005,TS34,1
T005,TS35,1
T005,TS36,1
T005,TS37,1
T005,TS38,1
T005,TS39,1
T005,TS40,1
T006,TS01,1
T006,TS02,1
T006,TS03,0
T006,TS04,1
T006,TS05,1
T006,TS06,1
T006,TS07,1
T006,TS08,1
T006,TS09,1
T006,TS10,0
T006,TS11,1
T006,TS12,1
T006,TS13,1
T006,TS14,1
T006,TS15,1
T006,TS16,1
T006,TS17,0
T006,TS18,1
T006,TS19,1
T006,TS20,1
T006,TS21,0
T006,TS22,1
T006,TS23,1
T006,TS24,1
T006,TS25,1
T006,TS26,1
T006,TS27,1
T006,TS28,0
T006,TS29,1
T006,TS30,1
T006,TS31,1
T006,TS32,1
T006,TS33,1
T006,TS34,1
T006,TS35,1
T006,TS36,1
T006,TS37,1
T006,TS38,1
T006,TS39,1
T006,TS40,1
T007,TS01,0
T007,TS02,1
T007,TS03,1
T007,TS04,1
T007,TS05,0
T007,TS06,1
T007,TS07,1
T007,TS08,1
T007,TS09,1
T007,TS10,1
T007,TS11,1
T007,TS12,1
T007,TS13,1
T007,TS14,1
T007,TS15,1
T007,TS16,1
T007,TS17,1
T007,TS18,1
T007,TS19,0
T007,TS20,1
T007,TS21,1
T007,TS22,1
T007,TS23,1
T007,TS24,0
T007,TS25,1
T007,TS26,1
T007,TS27,1
T007,TS28,1
T007,TS29,1
T007,TS30,1
T007,TS31,1
T007,TS32,1
T007,TS33,1
T007,TS34,1
T007,TS35,1
T007,TS36,1
T007,TS37,1
T007,TS38,1
T007,TS39,1
T007,TS40,0
T008,TS01,1
T008,TS02,1
T008,TS03,0
T008,TS04,1
T008,TS05,1
T008,TS06,1
T008,TS07,1
T008,TS08,1
T008,TS09,1
T008,TS10,1
T008,TS11,1
T008,TS12,1
T008,TS13,1
T008,TS14,1
T008,TS15,1
T008,TS16,1
T008,TS17,1
T008,TS18,1
